A*:

cost 					heuristic 
1.1070667935194771       0.5933352655568435
6.194219499770577       0.5706530113820643
195.55550053495816       136.34234781152338
4.229444788105639       2.047361274465146
213.4576378390718       141.81708336337886
0.050666666666666665       0.04169434490891109
199.4206634214688       135.98873921803
4.23067526379701       1.033288590407863
217.25309941499813       143.59066425223864
3.9476210712631694       0.7213275051296846
5.169881083877634       1.920109868419397
196.60768636045748       136.27915811808413
198.74283346589087       135.74936426892694
3.057605175420065       1.123739528404955
1.1408705844234241       0.10885572099992352
2.4763215437796635       0.5749182666666353
3.686702262130233       0.9285623964436517
0.7834479943034157       0.07999202049222376
5.70367407670748       1.6452495051419966
2.6298265000624066       0.8249671760352919

A* with time:

cost 					heuristic 
7.428139133016508       3.0644072955939246
8.050636436620277       2.0594382634849455
8.55686658795321       3.0861433037966557
3.6126564581068146       0.5177874066074537
2.0388604121144365       0.3489190016086767
5.811014388972895       1.257356250102091
11.032524237048092       2.1398885781785433
2.470498864691816       0.5483296983970658
6.60114298124641       1.3251937237685618
3.609782880642748       1.3966414573144128
2.810712494368757       0.9163640762156056
1.668377908574806       0.4060079617708223
1.4182140631262672       0.4761154683673526
4.441999043042603       1.1560219215060832
4.225982728010055       1.7814139542467842
2.736460219208329       1.000513633543348
0.7161092253315355       0.0204310278380929
0.9904336483066698       0.2870991127769033
5.563279205123973       1.983643000910079
4.5260852872487085       1.4773653393762811
